个人娱乐,#genre#
毕福剑+苏丹-走天涯(演唱会),http://em.21dtv.com/songs/60079748.mkv 
毕福剑+苏丹-漂亮的姑娘就要嫁人了(演唱会),http://em.21dtv.com/songs/60077080.mkv 
陈百强-今宵多珍重(演唱会),http://em.21dtv.com/songs/60023922.mkv 
陈百强-南北一家亲(演唱会),http://em.21dtv.com/songs/60031082.mkv 
蔡琴-今宵多珍重(HD演唱会),http://em.21dtv.com/songs/60023921.mkv 
崔萍-今宵多珍重(演唱会),http://em.21dtv.com/songs/60023923.mkv 
雷安娜-今宵多珍重(演唱会),http://em.21dtv.com/songs/60023924.mkv 
梅艳芳-今宵多珍重(演唱会),http://em.21dtv.com/songs/60023925.mkv 
谢雷+杨燕-今宵多珍重(演唱会),http://em.21dtv.com/songs/60023926.mkv 
叶丽仪-今宵多珍重(演唱会),http://em.21dtv.com/songs/60023927.mkv 
陈百强-粉红色的一生(演唱会),http://em.21dtv.com/songs/60017169.mkv 
梅艳芳-粉红色的一生(演唱会),http://em.21dtv.com/songs/60017170.mkv 
林一峰-偏偏喜欢你(演唱会),http://em.21dtv.com/songs/60033418.mkv 
谢雷-偏偏喜欢你(演唱会),http://em.21dtv.com/songs/60033419.mkv 
陈百强-偏偏喜欢你,http://em.21dtv.com/songs/60033420.mkv 
柳影虹-偏偏喜欢你(演唱会),http://em.21dtv.com/songs/60062698.mkv 
谭咏麟+杜丽莎-今宵多珍重(演唱会),http://em.21dtv.com/songs/60070818.mkv 
石修-今宵多珍重(演唱会),http://em.21dtv.com/songs/60076129.mkv 
汪明荃-今宵多珍重(演唱会),http://em.21dtv.com/songs/60076130.mkv 
SOLER-天才白痴梦(演唱会),http://em.21dtv.com/songs/60041752.mkv 
任贤齐+周华健-天才白痴梦(演唱会),http://em.21dtv.com/songs/60041753.mkv 
许志安-天才白痴梦(演唱会),http://em.21dtv.com/songs/60041754.mkv 
张惠妹-天才白痴梦(演唱会),http://em.21dtv.com/songs/60041755.mkv 
陈百强-天才白痴梦,http://em.21dtv.com/songs/60041756.mkv 
赵传-快乐似神仙(演唱会),http://em.21dtv.com/songs/60025784.mkv 
刘德华-开心的马骝(演唱会),http://em.21dtv.com/songs/60025029.mkv 
汪明荃-万水千山总是情(演唱会),http://em.21dtv.com/songs/60043309.mkv 
张帝+朱明瑛-万水千山总是情(演唱会),http://em.21dtv.com/songs/60043310.mkv 
张帝-为什么不爱我(演唱会),http://em.21dtv.com/songs/60078099.mkv 
张帝-毛毛歌(演唱会),http://em.21dtv.com/songs/60028653.mkv 
TWINS-恋爱大过天(演唱会),http://em.21dtv.com/songs/60026998.mkv 
李克勤+梁荣忠-恋爱大过天(演唱会),http://em.21dtv.com/songs/60026999.mkv 
李宇春-零点五英里(演唱会),http://em.21dtv.com/songs/60027451.mkv 
蔡琴-绿岛小夜曲(HD演唱会),http://em.21dtv.com/songs/60028153.mkv 
佚名-绿岛小夜曲(慢四),http://em.21dtv.com/songs/60028154.mkv 
刘若英-绿岛小夜曲(演唱会),http://em.21dtv.com/songs/60028155.mkv 
甄妮-绿岛小夜曲(演唱会),http://em.21dtv.com/songs/60028156.mkv 
黄品源+任贤齐-浪花一朵朵(演唱会),http://em.21dtv.com/songs/60026219.mkv 
莫文蔚-溜溜的情歌(演唱会),http://em.21dtv.com/songs/60076463.mkv 
梅花三姐妹-流浪走天涯(演唱会),http://em.21dtv.com/songs/60027690.mkv 
F.I.R-流浪者之歌(演唱会),http://em.21dtv.com/songs/60027684.mkv 
陈慧娴-黎明不要来(演唱会),http://em.21dtv.com/songs/60026831.mkv 
陈洁灵-黎明不要来(演唱会),http://em.21dtv.com/songs/60026832.mkv 
徐小凤-黎明不要来(演唱会),http://em.21dtv.com/songs/60026833.mkv 
乌兰图雅-蓝色的故乡(演唱会),http://em.21dtv.com/songs/60068412.mkv 
叶振棠+关菊英-两忘烟水里(演唱会),http://em.21dtv.com/songs/60027303.mkv
刘若英+玛莎-旅行的意义(演唱会),http://em.21dtv.com/songs/60076513.mkv 
徐佳莹-旅行的意义(演唱会),http://em.21dtv.com/songs/60076514.mkv 
旭日阳刚-老乡见老乡,http://em.21dtv.com/songs/60076356.mkv 
朱咪咪+叶振棠-俩忘烟水里(演唱会),http://em.21dtv.com/songs/60027329.mkv 
朱咪咪-俩忘烟水里(演唱会),http://em.21dtv.com/songs/60027330.mkv 
尹光+吕有慧-俩忘烟水里(演唱会),http://em.21dtv.com/songs/60061366.mkv 
林子祥+谢安琪-俩忘烟水里(演唱会),http://em.21dtv.com/songs/60076405.mkv 
罗敏庄+黄日华-两忘烟水里(演唱会),http://em.21dtv.com/songs/60076435.mkv 
张学友+许慧欣-流星下的愿(演唱会),http://em.21dtv.com/songs/60027735.mkv 
高向鹏-老兄行酒楼(演唱会),http://em.21dtv.com/songs/60026442.mkv 
谭咏麟+李克勤-理想与和平(演唱会),http://em.21dtv.com/songs/60026892.mkv 
谭咏麟-理想与和平(演唱会),http://em.21dtv.com/songs/60026893.mkv 
徐小凤-流下眼泪前(演唱会),http://em.21dtv.com/songs/60027719.mkv 
许冠文-流下眼泪前(演唱会),http://em.21dtv.com/songs/60027720.mkv 
莫旭秋-良夜不能留(演唱会),http://em.21dtv.com/songs/60027173.mkv 
杨坤-里约热内卢(演唱会),http://em.21dtv.com/songs/60026879.mkv 
杨坤+人声兄弟-里约热内卢,http://em.21dtv.com/songs/60113670.mkv 
关淑怡-恋一世的爱(演唱会),http://em.21dtv.com/songs/60027152.mkv 
梅艳芳-留住你今晚(演唱会),http://em.21dtv.com/songs/60027592.mkv 
张伟文-漫步人生路(演唱会),http://em.21dtv.com/songs/60028563.mkv 
邓丽君-漫步人生路,http://em.21dtv.com/songs/60028564.mkv 
黄日华+戚美珍-漫步人生路,http://em.21dtv.com/songs/60068459.mkv 
刘德华-漫步人生路,http://em.21dtv.com/songs/60070906.mkv 
谢霆锋-魔鬼的主意(演唱会),http://em.21dtv.com/songs/60030344.mkv 
男人唐潮-玫瑰花儿开(演唱会),http://em.21dtv.com/songs/60072188.mkv 
梁汉文-曼谷玛利亚(演唱会),http://em.21dtv.com/songs/60028550.mkv 
方大同-每个人都会(演唱会),http://em.21dtv.com/songs/60029038.mkv 
冯玉玺-每个人都会(演唱会),http://em.21dtv.com/songs/60062354.mkv 
冯允谦-每个人都会(演唱会),http://em.21dtv.com/songs/60083370.mkv 
陈奕迅-马利奥派对(演唱会),http://em.21dtv.com/songs/60028368.mkv 
陈奕迅-玛利奥派对(HD演唱会),http://em.21dtv.com/songs/60028396.mkv 
汪明荃-美丽的时光(演唱会),http://em.21dtv.com/songs/60029224.mkv 
成龙+金喜善-美丽的神话(hd剧情),http://em.21dtv.com/songs/60029219.mkv 
孙楠+韩红-美丽的神话(演唱会),http://em.21dtv.com/songs/60029220.mkv 
白冰+胡歌-美丽的神话,http://em.21dtv.com/songs/60029221.mkv 
成龙+金喜善-美丽的神话,http://em.21dtv.com/songs/60029222.mkv 
孙楠+韩红-美丽的神话,http://em.21dtv.com/songs/60029223.mkv 
罗中旭+纪敏佳-美丽的神话,http://em.21dtv.com/songs/60083378.mkv 
孙楠+王逸洁+朱婷婷-美丽的神话(最美和声)(现场版),http://em.21dtv.com/songs/60100838.mkv 
孙楠+朱婷婷+王逸洁-美丽的神话(HD),http://em.21dtv.com/songs/10012774.mkv 
霍尊-美丽的神话,http://em.21dtv.com/songs/60111516.mkv 
白冰+胡歌-美丽的神话,http://em.21dtv.com/songs/60113900.mkv 
梦苇+郑世勋-美丽的神话,http://em.21dtv.com/songs/60125830.mkv 
成龙+MIC男团-美丽的神话,http://em.21dtv.com/songs/60131454.mkv 
战斧乐队-美丽的世界,http://em.21dtv.com/songs/60130358.mkv 
杨坤-美丽的一天(演唱会),http://em.21dtv.com/songs/60029246.mkv 
刘德华-美丽的一天,http://em.21dtv.com/songs/60029247.mkv 
少女部落格-美丽的一天(演唱会),http://em.21dtv.com/songs/60064526.mkv 
伍佰-美丽新世界(演唱会),http://em.21dtv.com/songs/60029283.mkv 
AT17+林一峰-朦胧夜雨里(演唱会),http://em.21dtv.com/songs/60029444.mkv 
梅艳芳-朦胧夜雨里(演唱会),http://em.21dtv.com/songs/60029445.mkv 
吕珊-默默祝福你(演唱会),http://em.21dtv.com/songs/60062732.mkv 
方伊琪-默默祝福你(演唱会),http://em.21dtv.com/songs/60076754.mkv 
钟镇涛-没那么简单(演唱会),http://em.21dtv.com/songs/60028729.mkv 
黄小琥-没那么简单,http://em.21dtv.com/songs/60028730.mkv 
袁媛-没那么简单(演唱会),http://em.21dtv.com/songs/60063323.mkv 
金志文-没那么简单,http://em.21dtv.com/songs/60070909.mkv 
郭富城-木偶袭地球(演唱会),http://em.21dtv.com/songs/60030576.mkv 
颜福伟-明日话今天(演唱会),http://em.21dtv.com/songs/60030133.mkv 
张德兰-明日话今天(演唱会),http://em.21dtv.com/songs/60030134.mkv 
甄妮-明日话今天(演唱会),http://em.21dtv.com/songs/60030135.mkv 
徐小凤-每日怀念你(演唱会),http://em.21dtv.com/songs/60029044.mkv 
谭咏麟+李克勤-梦仍是一样(演唱会),http://em.21dtv.com/songs/60029634.mkv 
达明一派-每日一禁果(演唱会),http://em.21dtv.com/songs/60029045.mkv 
谢霆锋-每日一禁果(演唱会),http://em.21dtv.com/songs/60029046.mkv 
陈慧娴-明日有明天(演唱会),http://em.21dtv.com/songs/60030151.mkv 
王力宏-梦想被冷冻(演唱会),http://em.21dtv.com/songs/60029668.mkv 
杨小萍-梦醒不了情(演唱会),http://em.21dtv.com/songs/60029704.mkv 
ADELE-make you feel my love(演唱会),http://em.21dtv.com/songs/60067940.mkv 
ADELE-make you feel my love,http://em.21dtv.com/songs/60084745.mkv 
毛阿敏-没有根的花,http://em.21dtv.com/songs/60028784.mkv 
罗桦-每一个段落(演唱会),http://em.21dtv.com/songs/60064519.mkv 
陈奕迅-每一个明天(演唱会),http://em.21dtv.com/songs/60029081.mkv 
黄凯芹-每一个晚上(演唱会),http://em.21dtv.com/songs/60029087.mkv 
林子祥-每一个晚上(演唱会),http://em.21dtv.com/songs/60029088.mkv 
刘德华+林子祥-每一个晚上(演唱会),http://em.21dtv.com/songs/60029089.mkv 
谭锡禧-每一个晚上(演唱会),http://em.21dtv.com/songs/60083372.mkv 
甄妮+MELODY-梦中的妈妈(演唱会),http://em.21dtv.com/songs/60029774.mkv 
关淑怡-难得有情人(演唱会),http://em.21dtv.com/songs/60031205.mkv 
朱咪咪-难得有情人(演唱会),http://em.21dtv.com/songs/60031206.mkv 
草蜢-难得有情人(演唱会),http://em.21dtv.com/songs/60076846.mkv 
成龙-男儿当自强(演唱会),http://em.21dtv.com/songs/60030886.mkv 
林子祥-男儿当自强(演唱会),http://em.21dtv.com/songs/60030887.mkv 
郑中基-男儿当自强(演唱会),http://em.21dtv.com/songs/60030888.mkv 
汪峰-怒放的生命(演唱会),http://em.21dtv.com/songs/60032787.mkv 
达明一派-你还爱我吗(演唱会),http://em.21dtv.com/songs/60031731.mkv 
黄耀明+容祖儿-你还爱我吗(演唱会),http://em.21dtv.com/songs/60031732.mkv 
杨千嬅-你还爱我吗(演唱会),http://em.21dtv.com/songs/60031733.mkv 
林忆莲-你令我性感(演唱会),http://em.21dtv.com/songs/60031901.mkv 
黄凯芹-你留我在此(演唱会),http://em.21dtv.com/songs/60031902.mkv 
梅艳芳-你留我在此,http://em.21dtv.com/songs/60031903.mkv 张
华-牛郎想织女(演唱会),http://em.21dtv.com/songs/60032726.mkv 
古巨基+侧田-年年有今日(演唱会),http://em.21dtv.com/songs/60032631.mkv 
古巨基-年年有今日(演唱会),http://em.21dtv.com/songs/60032632.mkv 
麦穗-年年有今日(演唱会),http://em.21dtv.com/songs/60061473.mkv 
叶倩文+陈奕迅-女人的眼泪(演唱会),http://em.21dtv.com/songs/60032929.mkv 
叶倩文-女人的眼泪(演唱会),http://em.21dtv.com/songs/60032930.mkv 
张柏芝+高雪岚-男人这东西(演唱会),http://em.21dtv.com/songs/60031033.mkv 
干露露-男人这东西,http://em.21dtv.com/songs/60079896.mkv 
迪克牛仔-男人真命苦(演唱会),http://em.21dtv.com/songs/60031035.mkv 
张学友-你是爱我的(演唱会),http://em.21dtv.com/songs/60031991.mkv 
毛宁-你是我的眼(演唱会),http://em.21dtv.com/songs/60062759.mkv 
杨光-你是我的眼(演唱会),http://em.21dtv.com/songs/60063248.mkv 
伍佰-挪威的森林(演唱会),http://em.21dtv.com/songs/60032810.mkv 
陈淑桦+李宗盛-你走你的路,http://em.21dtv.com/songs/60032576.mkv 
高胜美-你走你的路,http://em.21dtv.com/songs/60032577.mkv 
